код_принципа,название_принципа,уровень_синтеза,всего,в_явных_разделах,в_разрозненных,в_кратких,частота_pct,индустрии,лучшая_формулировка
P01,Соблюдать антимонопольное законодательство,базовый,36,17,10,9,100,автопром; банкинг; страхование; строительство; телеком; торговые дома; транспорт; фармацевтика; электроника; энергетика,"В разделе ""Compliance with Competition Laws"" Honda закрепляет обязательство вести свободную и открытую конкуренцию и прямо требует от сотрудников соблюдать антимонопольное законодательство."
P09,"Конкурировать добросовестно, не дискредитировать конкурентов",базовый,30,15,8,7,83,автопром; банкинг; страхование; строительство; телеком; торговые дома; транспорт; фармацевтика; электроника; энергетика,"Соблюдать законы и иные социальные нормы; вести честную, прозрачную и свободную конкуренцию и надлежащую торговлю; осуществлять добросовестную корпоративную деятельность."
P11,Сообщать о нарушениях и подозрительных ситуациях,усиливающий,18,4,6,8,50,автопром; банкинг; строительство; телеком; торговые дома; транспорт; фармацевтика; электроника; энергетика,Hitachi предлагает различные каналы для обращений и сообщений о нарушениях.
P02,Не вступать в ценовые соглашения,усиливающий,17,8,7,2,47,автопром; банкинг; страхование; строительство; торговые дома; транспорт; фармацевтика; электроника,"Компания требует вести честную и законную конкуренцию в каждой юрисдикции и прямо запрещает практики необоснованного ограничения торговли, включая картели и ценовые сговоры."
P04,Не участвовать в сговоре при тендерах,усиливающий,7,5,2,0,19,автопром; строительство; торговые дома; электроника,"При участии в публичных и частных тендерах компания требует воздерживаться от любых действий, которые могут нарушить честность торгов, включая нарушения антимонопольного и иного применимого законодательства."
P05,Не обмениваться чувствительной информацией с конкурентами,усиливающий,7,4,3,0,19,автопром; торговые дома; транспорт; фармацевтика; электроника,"За исключением специально разрешенных случаев внутренними правилами, сотрудникам запрещен обмен чувствительной информацией с конкурентами."
P03,Не делить рынки и клиентов,усиливающий,6,3,3,0,17,автопром; банкинг; торговые дома; транспорт; фармацевтика; электроника,"Никогда не заключайте устных или письменных соглашений с конкурентом о: разделе рынков или клиентов; фиксации цен; манипулировании конкурсными торгами; обмене или обсуждении конфиденциальной информации — цен, клиентов, скидок, доли рынка, планов разработки продуктов, мощностей, территорий продаж, объёмов продаж, условий поставок или стратегических планов."
P10,Обращаться в юридический/комплаенс-отдел при рисках,усиливающий,5,2,2,1,14,банкинг; транспорт; фармацевтика; электроника,При любых сомнениях относительно правильного порядка действий для обеспечения честной конкуренции следует обращаться за консультацией в юридический отдел.
P06,Контролировать контакты с конкурентами,усиливающий,4,3,1,0,11,страхование; строительство; фармацевтика; электроника,Не участвуйте в неуместных обсуждениях или антиконкурентных действиях на заседаниях отраслевых ассоциаций или выставках.
P12,Соблюдать внутренние процедуры контроля и документирования,продвинутый,5,1,0,4,14,банкинг; строительство; транспорт; энергетика,«K» LINE создаст систему внутренней отчётности и необходимые механизмы для постоянного мониторинга состояния комплаенса и будет оперативно и эффективно реагировать на любые возникающие проблемы.
P07,Не получать информацию о конкурентах незаконным путём,продвинутый,3,1,2,0,8,телеком; фармацевтика; электроника,Не побуждайте кого-либо передавать вам конфиденциальную информацию.
P08,Уважать конфиденциальную информацию конкурентов,продвинутый,3,1,2,0,8,автопром; телеком; электроника,"IIJ Group будет защищать собственную конфиденциальную и проприетарную информацию, а также информацию, которую финансовые учреждения, клиенты, поставщики, конкуренты или их сотрудники доверяют группе IIJ."
